sa2_code,sa2_name,hh_total,hh_low_u650,hh_high_ge2000,pct_low_u650,pct_high_ge2000
206011106,Brunswick East,4844,657,2105,0.1356317093311313,0.43455821635012387
206011107,Brunswick West,5217,959,1827,0.18382211999233275,0.35020126509488214
206011109,Pascoe Vale South,2786,458,1228,0.16439339554917445,0.44077530509691315
206011495,Brunswick - North,4386,701,1824,0.15982672138622891,0.4158686730506156
206011496,Brunswick - South,4542,752,1938,0.16556583003082342,0.42668428005284015
206011497,Coburg - East,4048,753,1590,0.18601778656126483,0.39278656126482214
206011498,Coburg - West,3898,715,1669,0.18342739866598257,0.4281682914315033
206021110,Alphington - Fairfield,2666,534,985,0.2003000750187547,0.36946736684171044
206021112,Thornbury,6171,1193,2346,0.1933236104359099,0.38016528925619836
206021499,Northcote - East,4201,802,1662,0.19090692692216138,0.39562009045465363
206021500,Northcote - West,3012,504,1313,0.16733067729083664,0.4359229747675963
206031113,Ascot Vale,4239,872,1635,0.20570889360698277,0.3857041755130927
206031115,Flemington,3393,829,1008,0.24432655467138226,0.29708222811671087
206031116,Moonee Ponds,5122,904,2015,0.1764935572042171,0.3934010152284264
206031501,Essendon (West) - Aberfeldie,4343,723,1728,0.1664747870135851,0.39788164862997927
206031502,Essendon - East,3934,640,1518,0.1626842907981698,0.385866802236909
206041117,Carlton,6032,2007,1495,0.3327254641909814,0.2478448275862069
206041118,Docklands,6124,1009,2402,0.1647615937295885,0.3922273024167211
206041119,East Melbourne,1588,214,660,0.13476070528967254,0.4156171284634761
206041120,Flemington Racecourse,22,0,13,0.0,0.5909090909090909
206041121,Kensington (Vic.),3502,650,1482,0.1856082238720731,0.42318675042832665
206041124,Parkville,1670,297,598,0.17784431137724552,0.35808383233532937
206041125,South Yarra - West,2102,309,876,0.14700285442435776,0.4167459562321599
206041127,West Melbourne - Industrial,0,0,0,,
206041503,Melbourne CBD - East,4019,930,1146,0.23140084598158747,0.28514555859666585
206041504,Melbourne CBD - North,8066,2771,1547,0.3435407884949169,0.191792710141334
206041505,Melbourne CBD - West,7165,1580,2031,0.22051639916259597,0.2834612700628053
206041506,North Melbourne,5540,1300,1832,0.23465703971119134,0.3306859205776173
206041507,Royal Botanic Gardens Victoria,0,0,0,,
206041508,Southbank (West) - South Wharf,2616,368,1074,0.14067278287461774,0.4105504587155963
206041509,Southbank - East,7175,987,2789,0.1375609756097561,0.3887108013937282
206041510,West Melbourne - Residential,2892,503,1016,0.1739280774550484,0.35131396957123096
206051128,Albert Park,4796,817,1916,0.17035029190992493,0.3994995829858215
206051129,Elwood,5243,818,2021,0.15601754720579822,0.38546633606713715
206051130,Port Melbourne,4922,990,2062,0.20113774888256805,0.4189353921170256
206051134,St Kilda East,5872,973,2291,0.1657016348773842,0.3901566757493188
206051511,Port Melbourne Industrial,559,48,287,0.08586762075134168,0.5134168157423972
