sa2_code,sa2_name,median_hh_income,hh_total,hh_low_u650,hh_high_ge2000,pct_low_u650,pct_high_ge2000,median_hh_income_2016,income_growth_rate,median_age
208011168,Beaumaris,2622.0,3128,511,1277,0.1633631713554987,0.4082480818414322,2213.0,0.184816990510619,48.0
208011169,Brighton (Vic.),2718.0,5087,952,1943,0.1871436996264989,0.381954000393159,2409.0,0.1282689912826899,48.0
208011170,Brighton East,2720.0,3538,709,1420,0.2003957037874505,0.4013566986998304,2180.0,0.2477064220183486,44.0
208011171,Highett (West) - Cheltenham,2291.0,3334,634,1370,0.1901619676064787,0.4109178164367126,1724.0,0.3288863109048724,40.0
208011172,Hampton,2415.0,4407,1025,1631,0.2325845246199228,0.370093033809848,2031.0,0.1890694239290989,43.0
208011173,Sandringham - Black Rock,2356.0,4439,886,1689,0.1995945032665014,0.3804911015994593,2111.0,0.1160587399336807,48.0
208021174,Bentleigh - McKinnon,2240.0,6579,1219,2637,0.1852865177078583,0.4008207934336525,1830.0,0.2240437158469945,40.0
208021176,Carnegie,1873.0,6451,1275,2336,0.197643776158735,0.3621144008680824,1477.0,0.2681110358835477,36.0
208021177,Caulfield - North,2184.0,5986,1129,2305,0.1886067490811894,0.3850651520213832,1922.0,0.1363163371488033,35.0
208021178,Caulfield - South,2289.0,4661,827,1881,0.1774297361081313,0.4035614674962454,1911.0,0.1978021978021978,41.0
208021179,Elsternwick,2171.0,3540,640,1364,0.1807909604519774,0.3853107344632768,1877.0,0.1566329248801278,38.0
208021180,Hughesdale,2057.0,2262,442,890,0.1954022988505747,0.3934571175950486,1688.0,0.2186018957345971,38.0
208021181,Murrumbeena,2089.0,2775,490,1069,0.1765765765765765,0.3852252252252252,1656.0,0.2614734299516908,38.0
208021182,Ormond - Glen Huntly,1978.0,4233,763,1608,0.1802504134183794,0.3798724309000709,1553.0,0.2736638763683194,36.0
208021426,Bentleigh East - North,2250.0,4261,747,1801,0.1753109598685754,0.4226707345693499,1763.0,0.2762336925694838,39.0
208021427,Bentleigh East - South,2173.0,3873,687,1604,0.1773818745158791,0.4141492383165505,1705.0,0.2744868035190616,40.0
208031183,Aspendale Gardens - Waterways,2348.0,2128,275,1002,0.1292293233082706,0.4708646616541353,2039.0,0.1515448749386954,42.0
208031184,Braeside,933.0,14,3,4,0.2142857142857142,0.2857142857142857,900.0,0.0366666666666666,56.0
208031185,Carrum - Patterson Lakes,1853.0,3980,765,1523,0.1922110552763819,0.3826633165829146,1547.0,0.1978021978021978,44.0
208031186,Chelsea - Bonbeach,1718.0,5438,1153,1976,0.2120264803236484,0.3633688856197131,1376.0,0.2485465116279069,41.0
208031187,Chelsea Heights,1867.0,1658,327,677,0.1972255729794933,0.4083232810615199,1515.0,0.2323432343234323,40.0
208031188,Highett (East) - Cheltenham ,1853.0,7900,1622,2953,0.2053164556962025,0.3737974683544304,1466.0,0.2639836289222373,40.0
208031189,Edithvale - Aspendale,2223.0,3900,615,1728,0.1576923076923077,0.4430769230769231,1787.0,0.2439843312814773,40.0
208031190,Mentone,1889.0,4474,858,1664,0.1917746982565936,0.3719266875279392,1521.0,0.2419460880999342,42.0
208031191,Moorabbin - Heatherton,2046.0,2639,490,1079,0.1856763925729443,0.4088669950738916,1569.0,0.3040152963671128,40.0
208031192,Moorabbin Airport,0.0,0,0,0,,,,,22.0
